Year,Species.Code,FMP,sumRPN
1988,150,GOA,0
1988,160,GOA,42.13047786
1988,222,GOA,0
1988,232,GOA,0
1988,310,GOA,8492.349616
1988,320,GOA,135.8604014
1988,351,GOA,5.236553104
1989,150,GOA,0
1989,160,GOA,0
1989,222,GOA,0
1989,232,GOA,125.5326231
1989,310,GOA,13127.04039
1989,320,GOA,193.9591728
1989,351,GOA,26.59804243
1990,150,GOA,0
1990,160,GOA,0
1990,222,GOA,0
1990,232,GOA,0
1990,310,GOA,7642.356761
1990,320,GOA,489.5215852
1990,351,GOA,52.00470634
1991,150,GOA,0
1991,160,GOA,0
1991,222,GOA,0
1991,232,GOA,268.8819575
1991,310,GOA,50266.13005
1991,320,GOA,472.0924221
1991,351,GOA,11.85357143
1992,150,GOA,0
1992,160,GOA,0
1992,222,GOA,0
1992,232,GOA,22.07623547
1992,310,GOA,85503.79445
1992,320,GOA,511.3316825
1992,351,GOA,19.72163565
1993,150,GOA,0
1993,160,GOA,0
1993,222,GOA,0
1993,232,GOA,43.54281811
1993,310,GOA,72291.09377
1993,320,GOA,1713.77754
1993,351,GOA,29.16222985
1994,150,GOA,0
1994,160,GOA,0
1994,222,GOA,0
1994,232,GOA,89.77237268
1994,310,GOA,29732.72536
1994,320,GOA,1784.27175
1994,351,GOA,114.7654096
1995,150,GOA,0
1995,160,GOA,0
1995,222,GOA,0
1995,232,GOA,0
1995,310,GOA,31773.18214
1995,320,GOA,1809.292972
1995,351,GOA,8.1918973
1996,150,BSAI,0
1996,150,GOA,0
1996,160,BSAI,0
1996,160,GOA,0
1996,222,BSAI,0
1996,222,GOA,0
1996,232,BSAI,0
1996,232,GOA,12.37061374
1996,310,BSAI,36.55412698
1996,310,GOA,24608.6024
1996,320,BSAI,0
1996,320,GOA,1599.679557
1996,351,BSAI,0
1996,351,GOA,11.06960702
1997,150,BSAI,0
1997,150,GOA,0
1997,160,BSAI,0
1997,160,GOA,0
1997,222,BSAI,0
1997,222,GOA,0
1997,232,BSAI,0
1997,232,GOA,0
1997,310,BSAI,0
1997,310,GOA,34074.98762
1997,320,BSAI,522.0005941
1997,320,GOA,1026.345067
1997,351,BSAI,0
1997,351,GOA,94.00389362
1998,150,BSAI,0
1998,150,GOA,0
1998,160,BSAI,0
1998,160,GOA,0
1998,222,BSAI,0
1998,222,GOA,0
1998,232,BSAI,0
1998,232,GOA,249.8321323
1998,310,BSAI,31.45714286
1998,310,GOA,107840.4909
1998,320,BSAI,0
1998,320,GOA,2253.738055
1998,351,BSAI,0
1998,351,GOA,28.37656885
1999,150,BSAI,0
1999,150,GOA,0
1999,160,BSAI,0
1999,160,GOA,0
1999,222,BSAI,0
1999,222,GOA,0
1999,232,BSAI,0
1999,232,GOA,0
1999,310,BSAI,0
1999,310,GOA,17827.13126
1999,320,BSAI,177.2155148
1999,320,GOA,1597.726054
1999,351,BSAI,0
1999,351,GOA,0
2000,150,BSAI,0
2000,150,GOA,0
2000,160,BSAI,0
2000,160,GOA,0
2000,222,BSAI,0
2000,222,GOA,0
2000,232,BSAI,0
2000,232,GOA,0
2000,310,BSAI,73.08854167
2000,310,GOA,10587.51469
2000,320,BSAI,0
2000,320,GOA,2526.358641
2000,351,BSAI,0
2000,351,GOA,0
2001,150,BSAI,0
2001,150,GOA,0
2001,160,BSAI,0
2001,160,GOA,0
2001,222,BSAI,0
2001,222,GOA,0
2001,232,BSAI,0
2001,232,GOA,0
2001,310,BSAI,22.25454545
2001,310,GOA,13768.42184
2001,320,BSAI,45.29726723
2001,320,GOA,3357.861257
2001,351,BSAI,0
2001,351,GOA,0
2002,150,BSAI,0
2002,150,GOA,0
2002,160,BSAI,0
2002,160,GOA,0
2002,222,BSAI,0
2002,222,GOA,0
2002,232,BSAI,0
2002,232,GOA,27.04136029
2002,310,BSAI,11.39130435
2002,310,GOA,14790.70433
2002,320,BSAI,0
2002,320,GOA,3134.606212
2002,351,BSAI,0
2002,351,GOA,0
2003,150,BSAI,0
2003,150,GOA,0
2003,160,BSAI,0
2003,160,GOA,0
2003,222,BSAI,0
2003,222,GOA,0
