=========================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Value(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey: EBS_SLOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year: 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Name: Pacific sleeper shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=========================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey,Year,Cruise Join ID,Haul Join ID,Catch Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satisfactory Gear Performance,Gear Performance Note,Gear Depth,Bottom Depth,Species Code,Common Name,Scientific Name,Length (mm),Frequency,Sex,Sample Type,Length Type,akfin_load_date
EBS_SLOPE,2002,1129895,1129909,1131794,200202,57,110,58.58809,-175.07359,58.58812,-175.0302,43,,,,EBS slope subarea 4 depth stratum 3 600-800 meters,,,,,0,Y,Good performance,705,712,320,Pacific sleeper shark,Somniosus pacificus,1360,1,Male,1,1,3-Oct-16
EBS_SLOPE,2002,1129895,1129909,1131794,200202,57,110,58.58809,-175.07359,58.58812,-175.0302,43,,,,EBS slope subarea 4 depth stratum 3 600-800 meters,,,,,0,Y,Good performance,705,712,320,Pacific sleeper shark,Somniosus pacificus,1440,2,Male,1,1,3-Oct-16
EBS_SLOPE,2002,1129895,1129909,1131794,200202,57,110,58.58809,-175.07359,58.58812,-175.0302,43,,,,EBS slope subarea 4 depth stratum 3 600-800 meters,,,,,0,Y,Good performance,705,712,320,Pacific sleeper shark,Somniosus pacificus,1470,2,Male,1,1,3-Oct-16
EBS_SLOPE,2002,1129895,1129909,1131794,200202,57,110,58.58809,-175.07359,58.58812,-175.0302,43,,,,EBS slope subarea 4 depth stratum 3 600-800 meters,,,,,0,Y,Good performance,705,712,320,Pacific sleeper shark,Somniosus pacificus,1530,1,Male,1,1,3-Oct-16
EBS_SLOPE,2002,1129895,1129909,1131794,200202,57,110,58.58809,-175.07359,58.58812,-175.0302,43,,,,EBS slope subarea 4 depth stratum 3 600-800 meters,,,,,0,Y,Good performance,705,712,320,Pacific sleeper shark,Somniosus pacificus,1530,1,Female,1,1,3-Oct-16
EBS_SLOPE,2002,1129895,1129909,1131794,200202,57,110,58.58809,-175.07359,58.58812,-175.0302,43,,,,EBS slope subarea 4 depth stratum 3 600-800 meters,,,,,0,Y,Good performance,705,712,320,Pacific sleeper shark,Somniosus pacificus,1560,2,Male,1,1,3-Oct-16
EBS_SLOPE,2002,1129895,1129909,1131794,200202,57,110,58.58809,-175.07359,58.58812,-175.0302,43,,,,EBS slope subarea 4 depth stratum 3 600-800 meters,,,,,0,Y,Good performance,705,712,320,Pacific sleeper shark,Somniosus pacificus,1570,1,Female,1,1,3-Oct-16
EBS_SLOPE,2002,1129895,1129909,1131794,200202,57,110,58.58809,-175.07359,58.58812,-175.0302,43,,,,EBS slope subarea 4 depth stratum 3 600-800 meters,,,,,0,Y,Good performance,705,712,320,Pacific sleeper shark,Somniosus pacificus,1610,1,Male,1,1,3-Oct-16
EBS_SLOPE,2002,1129895,1129909,1131794,200202,57,110,58.58809,-175.07359,58.58812,-175.0302,43,,,,EBS slope subarea 4 depth stratum 3 600-800 meters,,,,,0,Y,Good performance,705,712,320,Pacific sleeper shark,Somniosus pacificus,1610,1,Female,1,1,3-Oct-16
EBS_SLOPE,2002,1129895,1129909,1131794,200202,57,110,58.58809,-175.07359,58.58812,-175.0302,43,,,,EBS slope subarea 4 depth stratum 3 600-800 meters,,,,,0,Y,Good performance,705,712,320,Pacific sleeper shark,Somniosus pacificus,1820,1,Male,1,1,3-Oct-16
