"SPECIES","AREA_COMBO","SURVEY_YEAR","AREA","N_STATIONS","N_POS_CATCH","AREA_CPUE","BOOT_AREA_CPUE","BOOT_BIAS","BOOT_SD","BOOT_LCI","BOOT_UCI","AKFIN_LOAD_DATE"
"Spiny dogfish","FMP (without Inside waters)",1999,"BSAI",99,4,0.0002901520508813539,0.00028479798496576725,-0.000005354065915586632,0.00013870793861096484,0.00007191250410055504,0.0006671666907597234,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",1999,"CAN",169,154,0.13242761914377332,0.13210238644457073,-0.00032523269920259,0.013130424599911,0.1079451409493578,0.15989837123523776,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",1999,"GOA",701,264,0.03523806468921148,0.03536775583377208,0.00012969114456059389,0.00359682305260959,0.02890179135275328,0.04343971257686337,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",1999,"WC",84,36,0.04706018935833133,0.04775140953899203,0.000691220180660701,0.01271166709741555,0.02641283332333709,0.07948786919730337,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2000,"BSAI",193,2,0.00007680536433166712,0.00007951016209321799,0.0000027047977615508634,0.00005425805065156645,0,0.0002679312071535347,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2000,"CAN",129,114,0.10884724705807038,0.10787283981865098,-0.0009744072394193976,0.0103932803813925,0.09200016622229013,0.1336567932012232,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2000,"GOA",688,286,0.04828323177355646,0.04826241190653534,-0.000020819867021119876,0.00404469045798926,0.04134218266547979,0.057025800307104,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2001,"BSAI",194,4,0.00020865449107751525,0.00021058256058126152,0.0000019280695037462905,0.00010120404625630237,0.00005280563008988885,0.0005187165915569246,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2001,"CAN",170,151,0.13251829479720403,0.13250450664052932,-0.000013788156674715555,0.00985220923309286,0.11420954426544155,0.15308976843151845,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2001,"GOA",682,345,0.08622048745206039,0.08655018529737282,0.00032969784531243496,0.00562971348788623,0.07560438432956045,0.09812202409337946,21-JUL-22
"Spiny dogfish","FMP (without Inside waters)",2001,"WC",84,24,0.03172438516914178,0.03164166494464401,-0.00008272022449776206,0.00852140517505085,0.01791313993908959,0.05305621867907497,21-JUL-22
