=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Survey: AI,EBS_SHELF,EBS_SLOPE,GOA,NBS"
"Year: 2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1980"
"Species Code: 320"
=========================================================================
"Survey","Year","Cruise Join ID","Haul Join ID","Catch Join ID","Cruise Number","Vessel Number","Haul Number","Starting Latitude (dd)","Starting Longitude (dd)","Ending Latitude (dd)","Ending Longitude (dd)","Stratum","Stratum INPFC Area","Stratum Min Depth (m)","Stratum Max Depth (m)","Stratum Description","Stratum Regulatory Area Name","Stratum Type","Domain","Density","Gear Performance","Satisfactory Gear Performance","Gear Performance Note","Gear Depth","Bottom Depth","Species Code","Common Name","Scientific Name","Length (mm)","Frequency","Sex","Sample Type","Length Type","akfin_load_date"
GOA,2013,-686,-10615,-296301,201301,143,128,57.98887,-154.56726,57.99371,-154.54438,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",116,124,320,Pacific sleeper shark,Somniosus pacificus,3000,1,Female,1,5,29-SEP-21
GOA,2013,-686,-10621,-296446,201301,143,134,57.8445,-153.95777,57.83784,-153.97888,121,Chirikof,101,200,"Shelikof Edge",CENTRAL GOA,SHELF,,,0,Y,"Good performance",162,169,320,Pacific sleeper shark,Somniosus pacificus,2930,1,Female,1,5,29-SEP-21
GOA,2015,-699,-14355,-422063,201501,143,106,57.53702,-155.23747,57.52783,-155.25451,232,Kodiak,201,300,"Upper Shelikof Gully",CENTRAL GOA,GULLY,,,0,Y,"Good performance",259,265,320,Pacific sleeper shark,Somniosus pacificus,3300,1,Male,1,5,29-SEP-21
GOA,2009,-638,-5446,-130543,200901,159,29,54.83437,-163.00481,54.82773,-162.9801,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",79,85,320,Pacific sleeper shark,Somniosus pacificus,2510,1,Female,1,5,29-SEP-21
AI,2002,1137515,1137524,1138390,200201,57,11,53.67397,-167.53191,53.68171,-167.5144,794,Southern Bering Sea,301,500,"Combined Southern Bering Sea",S BERING SEA,NORTH,,,0,Y,"Good performance",305,312,320,Pacific sleeper shark,Somniosus pacificus,1580,1,Male,1,1,29-SEP-21
AI,2006,-616,-10860,-305221,200601,143,11,53.72468,-166.8989,53.72194,-166.8773,722,Southern Bering Sea,101,200,"E Southern Bering Sea",S BERING SEA,NORTH,,,0,Y,"Good performance",184,191,320,Pacific sleeper shark,Somniosus pacificus,1050,1,Unknown,1,1,29-SEP-21
AI,2018,-721,-17911,-502611,201801,148,7,54.18558,-166.30616,54.17877,-166.3258,793,Southern Bering Sea,201,300,"Combined Southern Bering Sea",S BERING SEA,NORTH,,,0,Y,"Good performance",258,264,320,Pacific sleeper shark,Somniosus pacificus,920,1,Male,1,5,29-SEP-21
GOA,1996,881076,881894,897865,199601,100,239,59.58549,-140.4368,59.57672,-140.4171,141,Yakutat,101,200,"Yakataga Shelf",EASTERN GOA,SHELF,,,0,Y,"Good performance",190,190,320,Pacific sleeper shark,Somniosus pacificus,1800,1,Female,1,1,29-SEP-21
GOA,2003,1173315,1173435,1175929,200301,134,66,54.58546,-162.81039,54.57419,-162.8187,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",96,103,320,Pacific sleeper shark,Somniosus pacificus,1430,1,Male,1,5,29-SEP-21
GOA,2005,-610,-12566,-355034,200501,134,1,52.71598,-169.4389,52.70354,-169.4521,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,-2.4,N,"Belly damaged",168,174,320,Pacific sleeper shark,Somniosus pacificus,1400,1,Female,1,5,29-SEP-21
